BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,907014,RICHARDS RANDY J.,2/23/2017,2/23/2017,MEALS,9.99,2017,RICHARDS RANDY J.
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,907484,KLINE KAITLYN M.,2/28/2017,2/28/2017,MEALS,4.29,2017,KLINE KAITLYN M.
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,907992,KLINE KAITLYN M.,3/7/2017,3/11/2017,MEALS,18.78,2017,KLINE KAITLYN M.
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,907993,JORDE ADAM J.,2/21/2017,2/23/2017,MEALS,87.77,2017,JORDE ADAM J.
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,907995,RICHARDS RANDY J.,3/7/2017,3/9/2017,MEALS,64.62,2017,RICHARDS RANDY J.
C001087,"HON. ERIC A. ""RICK"" CRAWFORD",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487226,BURGESS ABBIGAIL L.,1/16/2017,1/19/2017,MEALS,70.67,2017,BURGESS ABBIGAIL L.
C001087,"HON. ERIC A. ""RICK"" CRAWFORD",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0495219,PAINTER STETSON C.,2/28/2017,2/28/2017,MEALS,26.76,2017,PAINTER STETSON C.
C001087,"HON. ERIC A. ""RICK"" CRAWFORD",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0498172,NAIL MITCHELL L.,2/25/2017,2/25/2017,MEALS,8,2017,NAIL MITCHELL L.
C001087,"HON. ERIC A. ""RICK"" CRAWFORD",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478820,CITIBANK GOV CARD SERVICE,12/9/2016,12/9/2016,MEALS,88.42,2016,CITIBANK GOV CARD SERVICE
C001045,HON. ANDER CRENSHAW,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0470651,STRIEBEL PRIEST ERICA A.,10/26/2016,10/27/2016,MEALS,72.48,2016,STRIEBEL PRIEST ERICA A.
C001038,HON. JOSEPH CROWLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0498781,CITIBANK GOV CARD SERVICE,2/19/2017,2/19/2017,MEALS,21.26,2017,CITIBANK GOV CARD SERVICE
C001038,HON. JOSEPH CROWLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0474300,VELASQUEZ MIRNA,9/12/2016,9/12/2016,MEALS,9.1,2016,VELASQUEZ MIRNA
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490191,CITIBANK GOV CARD SERVICE,1/6/2017,1/6/2017,MEALS,2.25,2017,CITIBANK GOV CARD SERVICE
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0487768,CITIBANK GOV CARD SERVICE,12/2/2016,12/2/2016,MEALS,7.83,2016,CITIBANK GOV CARD SERVICE
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0473884,GAHUN JAMIE H.,12/14/2016,12/16/2016,MEALS,107.81,2016,GAHUN JAMIE H.
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,902339,GAHUN JAMIE H.,12/14/2016,12/16/2016,MEALS,5,2016,GAHUN JAMIE H.
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0496003,HON CARLOS CURBELO,3/5/2017,3/5/2017,MEALS,35.62,2017,HON CARLOS CURBELO
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0472024,HON CARLOS CURBELO,12/14/2016,12/14/2016,MEALS,5.27,2016,HON CARLOS CURBELO
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0473913,YAWORSKE JASON A,12/19/2016,12/19/2016,MEALS,13.39,2016,YAWORSKE JASON A
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0478238,YAWORSKE JASON A,12/20/2016,12/20/2016,MEALS,29.49,2016,YAWORSKE JASON A
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0488824,CITIBANK GOV CARD SERVICE,1/16/2017,1/16/2017,MEALS,11.28,2017,CITIBANK GOV CARD SERVICE
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0490344,CRAVENS TYLER J.,1/26/2017,1/27/2017,MEALS,56.16,2017,CRAVENS TYLER J.
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0490345,LASSEIGNE PHILIP P,1/6/2017,1/24/2017,MEALS,28.78,2017,LASSEIGNE PHILIP P
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0494190,LASSEIGNE PHILIP P,2/10/2017,2/28/2017,MEALS,18.15,2017,LASSEIGNE PHILIP P
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0496004,CITIBANK GOV CARD SERVICE,2/8/2017,2/9/2017,MEALS,27.37,2017,CITIBANK GOV CARD SERVICE
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0473725,LASSEIGNE PHILIP P,12/9/2016,12/20/2016,MEALS,42.08,2016,LASSEIGNE PHILIP P
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0474905,CITIBANK GOV CARD SERVICE,12/12/2016,12/21/2016,MEALS,26.39,2016,CITIBANK GOV CARD SERVICE
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490176,PATTON CYNTHIA A.,1/17/2017,1/17/2017,MEALS,53.4,2017,PATTON CYNTHIA A.
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0496895,LEVITAN RACHEL,1/17/2017,1/17/2017,MEALS,63.93,2017,LEVITAN RACHEL
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0487256,PAZ PASTRANA AMERICA,12/4/2016,12/7/2016,MEALS,130.69,2016,PAZ PASTRANA AMERICA
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0487259,WEIL LYNNE A.,11/7/2016,11/10/2016,MEALS,61.81,2016,WEIL LYNNE A.
D000620,HON. JOHN K. DELANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494491,HOLDING MICHAEL S.,2/24/2017,2/24/2017,MEALS,5.19,2017,HOLDING MICHAEL S.
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0485267,COX RAMSEY C.,1/26/2017,1/27/2017,MEALS,42.21,2017,COX RAMSEY C.
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/13/2017,AP,E0475328,PLUMMER MELISSA,12/12/2016,12/22/2016,MEALS,42.42,2016,PLUMMER MELISSA
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/14/2017,AP,E0474225,SCHMIDT AARON,12/15/2016,12/16/2016,MEALS,36.82,2016,SCHMIDT AARON
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0479433,PLUMMER MELISSA,1/2/2017,1/2/2017,MEALS,17.75,2017,PLUMMER MELISSA
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0486017,ANDERSON WENDY D.,1/14/2017,1/20/2017,MEALS,168.8,2017,ANDERSON WENDY D.
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0491246,CITIBANK GOV CARD SERVICE,1/19/2017,1/26/2017,MEALS,108.54,2017,CITIBANK GOV CARD SERVICE
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0487359,ANDERSON WENDY D.,1/27/2017,1/27/2017,MEALS,8.47,2017,ANDERSON WENDY D.
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0490328,GREENFIELD GEORGE R.,1/21/2017,1/21/2017,MEALS,24.11,2017,GREENFIELD GEORGE R.
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493533,ANDERSON WENDY D.,1/21/2017,2/22/2017,MEALS,26.47,2017,ANDERSON WENDY D.
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0496990,ANDERSON WENDY D.,3/2/2017,3/4/2017,MEALS,30.11,2017,ANDERSON WENDY D.
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0496920,VELAZCO MAURICE T,3/2/2017,3/5/2017,MEALS,43.63,2017,VELAZCO MAURICE T
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0498977,FEATHERSON WENDY M.,3/4/2017,3/4/2017,MEALS,10.12,2017,FEATHERSON WENDY M.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0481931,CARMACK DUSTIN J.,1/16/2017,1/16/2017,MEALS,73.6,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0481931,CARMACK DUSTIN J.,1/17/2017,1/17/2017,MEALS,25.15,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0482474,FISICK ELIZABETH C.,1/16/2017,1/16/2017,MEALS,30.91,2017,FISICK ELIZABETH C.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0482474,FISICK ELIZABETH C.,1/17/2017,1/17/2017,MEALS,38.56,2017,FISICK ELIZABETH C.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0478581,CARMACK DUSTIN J.,1/8/2017,1/8/2017,MEALS,7.6,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0478581,CARMACK DUSTIN J.,1/9/2017,1/9/2017,MEALS,107.22,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0478581,CARMACK DUSTIN J.,1/10/2017,1/10/2017,MEALS,2.65,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497988,CARMACK DUSTIN J.,3/10/2017,3/10/2017,MEALS,39.54,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497988,CARMACK DUSTIN J.,3/11/2017,3/11/2017,MEALS,21.43,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497988,CARMACK DUSTIN J.,3/12/2017,3/12/2017,MEALS,11.43,2017,CARMACK DUSTIN J.
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486352,JACKSON SARAH L.,1/16/2017,1/16/2017,MEALS,20,2017,JACKSON SARAH L.
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486352,JACKSON SARAH L.,1/18/2017,1/18/2017,MEALS,35.38,2017,JACKSON SARAH L.
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486358,ARNOLD BETSY,1/15/2017,1/15/2017,MEALS,163.01,2017,ARNOLD BETSY
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0474636,BROWN RYAN-THOMAS,12/3/2016,12/7/2016,MEALS,63.99,2016,BROWN RYAN-THOMAS
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487230,WILLIAMS-BARR YVETTE L.,12/3/2016,12/7/2016,MEALS,97.06,2016,WILLIAMS-BARR YVETTE L.
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0483079,MOON REBECCA A,1/19/2017,1/22/2017,MEALS,105.66,2017,MOON REBECCA A
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0484991,POND SHIRLEY,1/19/2017,1/22/2017,MEALS,172.68,2017,POND SHIRLEY
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0489013,CITIBANK GOV CARD SERVICE,1/21/2017,1/21/2017,MEALS,17,2017,CITIBANK GOV CARD SERVICE
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0489015,POND SHIRLEY,2/10/2017,2/10/2017,MEALS,17.37,2017,POND SHIRLEY
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0494033,CORY KATHERINE P.,2/22/2017,2/23/2017,MEALS,54.03,2017,CORY KATHERINE P.
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0494057,LOCKE JAMES P,2/22/2017,2/24/2017,MEALS,39.04,2017,LOCKE JAMES P
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0497866,THOMAS BRENDAN A.,2/21/2017,2/24/2017,MEALS,95.28,2017,THOMAS BRENDAN A.
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/13/2017,AP,E0476683,MOON REBECCA A,12/2/2016,12/21/2016,MEALS,101.25,2016,MOON REBECCA A
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0483104,CITIBANK GOV CARD SERVICE,10/18/2016,10/20/2016,MEALS,7.5,2016,CITIBANK GOV CARD SERVICE
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487306,CHAPMAN JAYNE,1/24/2017,1/24/2017,MEALS,6,2017,CHAPMAN JAYNE
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487307,BRIER THERESA K.,1/24/2017,1/24/2017,MEALS,11.99,2017,BRIER THERESA K.
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0487305,LIPSICH WENDI E.,1/24/2017,1/24/2017,MEALS,18.37,2017,LIPSICH WENDI E.
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0487300,DOUGAN-ROCHA ALEXIS,1/24/2017,1/26/2017,MEALS,42.33,2017,DOUGAN-ROCHA ALEXIS
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493294,DOUGAN-ROCHA ALEXIS,1/24/2017,1/26/2017,MEALS,42.33,2017,DOUGAN-ROCHA ALEXIS
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0484184,OTERO MIGUEL,1/19/2017,1/19/2017,MEALS,16.8,2017,OTERO MIGUEL
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486278,BLANCO JENNIFER,1/31/2017,1/31/2017,MEALS,13.12,2017,BLANCO JENNIFER
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486321,BLANCO JENNIFER,2/1/2017,2/3/2017,MEALS,121.98,2017,BLANCO JENNIFER
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486362,CITIBANK GOV CARD SERVICE,1/5/2017,1/5/2017,MEALS,38,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486362,CITIBANK GOV CARD SERVICE,1/18/2017,1/18/2017,MEALS,44.22,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486362,CITIBANK GOV CARD SERVICE,1/19/2017,1/19/2017,MEALS,3.3,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486362,CITIBANK GOV CARD SERVICE,1/22/2017,1/22/2017,MEALS,14.11,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486362,CITIBANK GOV CARD SERVICE,1/23/2017,1/23/2017,MEALS,7.13,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0486330,CITIBANK GOV CARD SERVICE,1/17/2017,1/17/2017,MEALS,24.78,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0486330,CITIBANK GOV CARD SERVICE,1/18/2017,1/18/2017,MEALS,39.18,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493470,MENDOZA MIGUEL E.,2/21/2017,2/21/2017,MEALS,18.32,2017,MENDOZA MIGUEL E.
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0498319,HERNANDEZ LAURA D,3/7/2017,3/9/2017,MEALS,95.46,2017,HERNANDEZ LAURA D
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0484776,SUNSTRUM GREGORY J.,12/15/2016,12/15/2016,MEALS,16.84,2016,SUNSTRUM GREGORY J.
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0488899,CHARLES P MEACHUM,1/8/2017,1/9/2017,MEALS,48.97,2017,CHARLES P MEACHUM
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0498478,CHARLES P MEACHUM,3/5/2017,3/6/2017,MEALS,11.17,2017,CHARLES P MEACHUM
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0473088,SMEDILE CATHERINE M,12/11/2016,12/12/2016,MEALS,27.35,2016,SMEDILE CATHERINE M
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485115,JAMES TYLER S.,1/3/2017,1/30/2017,MEALS,142.16,2017,JAMES TYLER S.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486838,CITIBANK GOV CARD SERVICE,1/6/2017,1/6/2017,MEALS,6.36,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486838,CITIBANK GOV CARD SERVICE,1/10/2017,1/10/2017,MEALS,22.51,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486838,CITIBANK GOV CARD SERVICE,1/13/2017,1/13/2017,MEALS,8.09,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486966,CITIBANK GOV CARD SERVICE,1/4/2017,1/4/2017,MEALS,28.78,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486966,CITIBANK GOV CARD SERVICE,1/5/2017,1/5/2017,MEALS,14.58,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486966,CITIBANK GOV CARD SERVICE,1/12/2017,1/12/2017,MEALS,11.75,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486966,CITIBANK GOV CARD SERVICE,1/23/2017,1/23/2017,MEALS,33.67,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0485114,EDWARDS KATHERINE E.,1/5/2017,1/17/2017,MEALS,16.56,2017,EDWARDS KATHERINE E.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0490259,ADKINS RICKY L.,1/19/2017,1/19/2017,MEALS,16.02,2017,ADKINS RICKY L.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0490260,HUFF ROBIN B.,2/15/2017,2/15/2017,MEALS,5.62,2017,HUFF ROBIN B.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0490282,EDWARDS KATHERINE E.,2/2/2017,2/2/2017,MEALS,24.74,2017,EDWARDS KATHERINE E.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0493443,CHRISTIAN JORDAN D.,2/13/2017,2/13/2017,MEALS,4.2,2017,CHRISTIAN JORDAN D.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0493556,WILLIAMS WILLIAM E.,2/17/2017,2/21/2017,MEALS,44.57,2017,WILLIAMS WILLIAM E.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0491710,WILLIAMS WILLIAM E.,1/30/2017,2/17/2017,MEALS,44.27,2017,WILLIAMS WILLIAM E.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0494939,JAMES TYLER S.,2/2/2017,2/22/2017,MEALS,93.17,2017,JAMES TYLER S.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497183,CITIBANK GOV CARD SERVICE,1/27/2017,2/27/2017,MEALS,159.92,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0496269,EDWARDS KATHERINE E.,2/3/2017,2/27/2017,MEALS,76.39,2017,EDWARDS KATHERINE E.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0497047,CITIBANK GOV CARD SERVICE,1/31/2017,2/1/2017,MEALS,13.09,2017,CITIBANK GOV CARD SERVICE
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0474744,ADKINS RICKY L.,12/8/2016,12/22/2016,MEALS,52.02,2016,ADKINS RICKY L.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0477220,EDWARDS KATHERINE E.,12/8/2016,12/12/2016,MEALS,31.17,2016,EDWARDS KATHERINE E.
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0477269,JAMES TYLER S.,12/1/2016,12/15/2016,MEALS,51.08,2016,JAMES TYLER S.
